"spkid","full_name","moid_ld","H","rot_per","pha"
20500080,"500080 (2011 WV134)",7.17,17.22,10.105,Y
20501647,"501647 (2014 SD224)",6.74,22.36,,N
20503861,"503861 (1998 WZ1)",8.55,19.97,,Y
20503911,"503911 (2002 FD6)",1.64,22.89,2.799,N
20503941,"503941 (2003 UV11)",3.05,19.62,18.25,Y
20504680,"504680 (2009 EO2)",5.08,19.78,,Y
20504800,"504800 (2010 CO1)",8.35,21.48,,Y
20505178,"505178 (2012 TV78)",5.41,19.46,,Y
20506491,"506491 (2003 UW29)",7.08,20.69,,Y
20506732,"506732 (2006 VW2)",6.49,21.32,,Y
20508774,"508774 (1999 JE1)",9.34,20.08,,Y
20508908,"508908 (2003 YX1)",4.52,20.95,,Y
20508967,"508967 (2004 VC17)",0.722,18.50,,Y
20509191,"509191 (2006 OC5)",5.54,19.25,,Y
20509352,"509352 (2007 AG)",1.48,20.16,,Y
20509456,"509456 (2007 LF)",1.93,20.57,,Y
20509821,"509821 (2008 WQ63)",3.11,20.20,,Y
20511684,"511684 (2015 BN509)",9.6,20.78,5.6713,Y
20513126,"513126 (1998 QP)",5.29,21.71,,Y
20513171,"513171 (2004 MD6)",3.88,20.48,,Y
20513312,"513312 (2007 DM41)",2.96,22.06,,Y
20514150,"514150 (2015 KJ57)",4.81,21.53,,Y
20516154,"516154 (2016 CL32)",9.39,19.35,11.181,Y
20518640,"518640 (2008 KZ5)",0.826,20.05,5.789,Y
20523589,"523589 (2001 HA4)",9.79,17.79,,Y
20523598,"523598 (2003 ED50)",9.88,20.77,,Y
20523606,"523606 (2005 CJ)",2.85,20.34,,Y
20523654,"523654 (2011 SR5)",0.156,20.93,10.07,Y
20523662,"523662 (2012 MU2)",0.444,20.77,,Y
20523685,"523685 (2014 DN112)",1.05,20.12,,Y
20523732,"523732 (2014 PG51)",8.95,20.66,,Y
20523775,"523775 (2014 YB35)",9.1,19.11,3.277,Y
20523804,"523804 (2000 YF29)",3.73,20.31,,Y
20523808,"523808 (2007 ML24)",9.52,19.35,,Y
20523809,"523809 (2007 TV18)",0.609,23.77,,N
20523813,"523813 (2008 VB1)",8.49,20.66,,Y
20523820,"523820 (2011 GN44)",2.21,18.20,,Y
20523950,"523950 (1998 SZ27)",2.79,20.17,,Y
20524475,"524475 (2002 KJ4)",9.39,19.36,,Y
20524594,"524594 (2003 NW1)",9.97,18.68,37.7,Y
20525484,"525484 (2005 GL)",2.51,21.30,,Y
20525498,"525498 (2005 GE60)",2.09,22.12,,N
20526670,"526670 (2006 UL217)",8.3,20.75,,Y
20526798,"526798 (2007 AA9)",6.05,22.58,,N
20527715,"527715 (2007 YQ56)",4.06,19.95,60.8,Y
