"spkid","full_name","e","per_y","class"
20456938,"456938 (2007 YV56)",0.6220,1.98,APO
20457768,"457768 (2009 KN4)",0.5245,2.7,APO
20458116,"458116 (2010 DA)",0.5657,1.05,APO
20458122,"458122 (2010 EW45)",0.6692,2.97,APO
20458418,"458418 (2011 AM12)",0.5376,2.53,APO
20461852,"461852 (2006 GY2)",0.4960,2.53,APO
20462550,"462550 (2009 CB3)",0.7236,1.1,APO
20462959,"462959 (2011 DU)",0.3179,1.27,APO
20463387,"463387 (2013 CT82)",0.6248,3.01,APO
20465633,"465633 (2009 JR5)",0.3513,1.4,APO
20465824,"465824 (2010 FR)",0.3655,1.2,APO
20465892,"465892 (2010 UT7)",0.6606,1.99,APO
20466508,"466508 (2014 GY48)",0.4184,2.04,APO
20467351,"467351 (2003 KO2)",0.5108,0.621,ATE
20467460,"467460 (2006 JF42)",0.5819,0.55,ATE
20468005,"468005 (2012 XD112)",0.3658,1.52,APO
20468468,"468468 (2004 KH17)",0.4981,0.601,ATE
20469445,"469445 (2002 LT24)",0.4958,0.611,ATE
20469896,"469896 (2005 WC1)",0.4866,1.66,APO
20470310,"470310 (2007 LB15)",0.3952,0.909,ATE
20471240,"471240 (2011 BT15)",0.3025,1.47,APO
20471984,"471984 (2013 UE3)",0.2256,1.04,APO
20474158,"474158 (1999 FA)",0.1327,1.12,APO
20474163,"474163 (1999 SO5)",0.0645,1.13,APO
20475016,"475016 (2005 UO)",0.5826,1.57,APO
20475534,"475534 (2006 TS7)",0.5803,0.921,ATE
20478574,"478574 (2012 TS78)",0.3816,2.04,APO
20478784,"478784 (2012 UV136)",0.1397,1.01,APO
20480936,"480936 (2003 QH5)",0.2201,1.41,APO
20481394,"481394 (2006 SF6)",0.2805,0.926,ATE
20481457,"481457 (2006 XD2)",0.4250,1.43,APO
20481482,"481482 (2007 CA19)",0.8221,4.7,APO
20482250,"482250 (2011 LL2)",0.0964,1.21,AMO
20482488,"482488 (2012 SW20)",0.6766,3.88,APO
20482650,"482650 (2013 BK18)",0.4946,2.07,APO
20482766,"482766 (2013 GF69)",0.4981,2.76,APO
20482796,"482796 (2013 QJ10)",0.4251,0.94,ATE
20483422,"483422 (2000 CE59)",0.1668,1.21,APO
20483423,"483423 (2000 DO1)",0.6822,1.71,APO
20483432,"483432 (2001 DF47)",0.3708,1.34,APO
20483560,"483560 (2004 BV1)",0.3676,1.77,APO
20483989,"483989 (2006 CY10)",0.4840,2.74,APO
20484402,"484402 (2007 XH16)",0.2349,1.29,APO
20484506,"484506 (2008 ER7)",0.6239,1.81,APO
20484517,"484517 (2008 EC69)",0.6213,4.55,AMO
20484976,"484976 (2009 UN3)",0.5756,3.55,APO
20485652,"485652 (2011 WO41)",0.7276,5.27,APO
20487577,"487577 (2014 YQ15)",0.2358,0.946,ATE
20487583,"487583 (2015 FJ36)",0.3095,1.04,APO
20488453,"488453 (1994 XD)",0.7336,3.59,APO
20488490,"488490 (2000 AF205)",0.2770,1.05,APO
20488515,"488515 (2001 FE90)",0.4953,2.69,APO
20489486,"489486 (2007 GS3)",0.1291,1.09,APO
20490354,"490354 (2009 FF19)",0.4092,1.34,APO
20494658,"494658 (2000 UG11)",0.5718,2.68,APO
20494999,"494999 (2010 JU39)",0.5460,0.881,ATE
20496005,"496005 (2007 XJ16)",0.5568,3.39,APO
20496013,"496013 (2008 EL6)",0.4807,2.27,APO
20496816,"496816 (1989 UP)",0.4723,2.54,APO
20496817,"496817 (1989 VB)",0.4602,2.54,APO
20496860,"496860 (1999 XL136)",0.6466,2.45,APO
20496901,"496901 (2001 HB)",0.6939,1.51,APO
20497117,"497117 (2004 FU4)",0.2639,1.41,APO
20500080,"500080 (2011 WV134)",0.6751,4.68,APO
20501647,"501647 (2014 SD224)",0.3309,0.968,ATE
20503861,"503861 (1998 WZ1)",0.5567,3.18,APO
20503911,"503911 (2002 FD6)",0.3421,1.37,APO
20503941,"503941 (2003 UV11)",0.7627,1.75,APO
20504680,"504680 (2009 EO2)",0.4808,2.24,APO
20504800,"504800 (2010 CO1)",0.2179,1.02,APO
20505178,"505178 (2012 TV78)",0.5488,2.45,APO
20506491,"506491 (2003 UW29)",0.8385,1.27,APO
20506732,"506732 (2006 VW2)",0.2945,1.37,APO
20508774,"508774 (1999 JE1)",0.7017,1.52,APO
20508908,"508908 (2003 YX1)",0.2671,0.825,ATE
20508967,"508967 (2004 VC17)",0.8110,2.61,APO
20509191,"509191 (2006 OC5)",0.6521,3.72,APO
20509352,"509352 (2007 AG)",0.3742,0.612,ATE
20509456,"509456 (2007 LF)",0.4198,2.18,APO
20509821,"509821 (2008 WQ63)",0.6071,2.28,APO
20511684,"511684 (2015 BN509)",0.5684,1.01,APO
20513126,"513126 (1998 QP)",0.5826,2.39,APO
20513171,"513171 (2004 MD6)",0.5631,0.927,ATE
20513312,"513312 (2007 DM41)",0.5277,1.28,APO
20514150,"514150 (2015 KJ57)",0.4039,1.95,APO
20516154,"516154 (2016 CL32)",0.4601,1.92,APO
20518640,"518640 (2008 KZ5)",0.4544,2.5,APO
20523589,"523589 (2001 HA4)",0.7934,4.41,APO
20523598,"523598 (2003 ED50)",0.5469,1.69,APO
20523606,"523606 (2005 CJ)",0.5256,2.31,APO
20523654,"523654 (2011 SR5)",0.7057,1.28,APO
20523662,"523662 (2012 MU2)",0.5128,2.95,APO
20523685,"523685 (2014 DN112)",0.4937,2.51,APO
20523732,"523732 (2014 PG51)",0.4527,1.32,APO
20523775,"523775 (2014 YB35)",0.4831,2.57,APO
20523804,"523804 (2000 YF29)",0.3714,1.82,APO
20523808,"523808 (2007 ML24)",0.3584,0.661,ATE
20523809,"523809 (2007 TV18)",0.3484,1.38,APO
20523813,"523813 (2008 VB1)",0.2750,1.44,APO
20523820,"523820 (2011 GN44)",0.5975,3.36,APO
20523950,"523950 (1998 SZ27)",0.5067,0.861,ATE
20524475,"524475 (2002 KJ4)",0.5558,3.42,APO
20524594,"524594 (2003 NW1)",0.6429,3.77,APO
20525484,"525484 (2005 GL)",0.3063,1.09,APO
20525498,"525498 (2005 GE60)",0.2459,0.939,ATE
20526670,"526670 (2006 UL217)",0.3486,1.71,APO
20526798,"526798 (2007 AA9)",0.4204,0.795,ATE
